WWR,dN,dE,dS,dW,Annual_Energy_kWh,Lifecycle_Cost_USD,ASE_Hours
0.7953911093981079,0.040508552679907314,0.12561117424430288,0.19018723997532988,0.04225968846010698,94666.61247437849,1252841.2609639703,3115.0
0.20125841611840295,0.05150925545454224,0.011979079510512573,0.9908244770363804,0.01353947179879584,108660.51231706748,1062841.0536982287,2683.0
0.20115536494682876,0.017919305091037622,0.004845494541893992,0.002299566949572618,0.017264091529162,106909.93119649046,902944.3414188065,3148.0
0.769068828188031,0.8466332919014398,0.9996175826802438,0.9923179769372978,0.05159298063193201,99639.45192414358,1628812.3240417982,2534.0
0.7966679675592411,0.10739103140911727,0.11910953893635393,0.5729180956367577,0.20389143518594227,95941.28580429764,1348942.5547142667,2875.0
0.651856258789604,0.00020499316079011266,0.01125204149009379,0.6910636523028945,0.011263024692184945,101269.11471526229,1244186.443485166,2813.0
0.4203298267480683,0.3656393818198079,0.0007836636395156214,0.3525318675795941,0.011395166492671605,103313.64994364422,1118614.9477639587,2991.0
0.20025963695584362,0.00014025291596746203,0.005527329274360948,0.767836381411247,0.014922275458676578,107326.5865526581,1014842.1737482297,2776.0
0.7495817834192179,0.7963529289146892,0.948712666766674,0.9790693702348906,0.004185435824650831,97275.37529222244,1582642.9140230652,2549.0
0.5102664987540025,0.03371345419023371,0.004820575728213997,0.010644082958057993,0.0419381477632003,101445.42581596074,1068794.6540858648,3146.0
0.7954694927680044,0.7929908028663176,0.012004513760197486,0.43423451705381955,0.015193003662207605,94982.7337572407,1381127.610495219,2916.0
0.4266214040993272,0.3581573943575922,0.003542956288729927,0.8381866920809551,0.10734150738671241,104766.64406011565,1214362.0086074988,2727.0
0.7933177484045887,0.3359054664076518,0.11910627962827297,0.4590257991464588,0.023169339281206708,95266.25926949974,1334124.3367754193,2940.0
0.7257330240916134,0.4253260716688265,0.11334707642946604,0.9924491219487996,0.0029615226794276524,97371.95162951451,1391985.0487150557,2660.0
0.4208314363550271,0.34130134426733416,0.06628296583709502,0.24945889910915958,0.04138838088000177,102810.5595073846,1111918.7927303086,3064.0
0.22413224025735518,0.34322729542308433,0.008018555784044423,0.9845351591159848,0.28349308236782267,107602.45875419171,1153344.6976819304,2669.0
0.6607517502473261,0.7910702200612834,0.948712666766674,0.9799106153318535,0.0011340226319013595,99060.1010718418,1536913.9995154159,2549.0
0.4248597857832538,0.37502989350585525,0.017461233211500435,0.5845131998578893,0.04643840964673482,102998.02101553515,1163308.839925214,2851.0
0.6607517502473261,0.043406319723165,0.948712666766674,0.9792994336690909,0.014179622860107398,98900.602474422,1427252.892135879,2600.0
0.32938621281978375,0.028710209806873443,0.001485578468994192,0.7965375269645573,0.01178384535706646,104460.0345159756,1085898.7999937213,2764.0
0.24718798676592935,0.13587386465851342,0.026941747403630575,0.07332122500614785,0.009479209414029896,105718.81231508499,954990.3672295604,3131.0
0.7497954019582125,0.32542016666476564,0.948712666766674,0.8931211213221977,0.0174244329231526,96443.41552909878,1498471.008575581,2616.0
0.32715889696056544,0.047787229781767304,0.12471598665528563,0.6357749332428191,0.012863853207506323,105116.53080094453,1084958.3128882055,2838.0
0.7901114161988934,0.04839545871459261,0.04365508788123715,0.3525318675795941,0.012266539485607462,96028.50643312241,1264476.5263334769,3009.0
0.3745507028840712,0.5933132875853113,0.20175095761875864,0.9913061389773741,0.005509670590389051,104146.85366303497,1252524.160281729,2633.0
0.6516107825857682,0.04362484602410015,0.005493755984048158,0.7792508950993303,0.011263024692184945,100321.13582444351,1258422.817041898,2769.0
0.2756104843273014,0.10044829733043942,0.02662361905812382,0.24649636658781,0.011416995820516126,105119.47617483423,989790.6579604907,3081.0
0.7693709483304284,0.07612041752205168,0.9996175826802438,0.9919872037920432,0.05159298063193201,97858.02474631589,1506754.441242842,2584.0
0.6661031490518962,0.04976702760513327,0.039721122647641605,0.9769359810858507,0.00035686917346627184,99497.43426797887,1296963.7965934395,2689.0
0.2009026924593959,0.04122154529545534,0.12339874734074097,0.19124414339155665,0.014291420266018238,106635.54759446761,950136.0077687438,3115.0
0.20101280162057994,0.5976698193332238,0.9905558284652183,0.9194331869189803,0.02741914404283813,108087.21840038805,1277523.2889542507,2564.0
0.20125841611840295,0.05150925545454224,0.011441785683082684,0.5901205143959952,0.007859092614800833,107117.07250885227,995599.5542769176,2866.0
0.2900646990944217,0.5976698193332238,0.9905558284652183,0.9203557477163704,0.02741914404283813,105548.97944312122,1319019.3308556,2564.0
0.7953911093981079,0.2739989023367403,0.12561117424430288,0.19018723997532988,0.021182479317176026,94666.61247437849,1284315.7904727585,3103.0
0.7954694927680044,0.051883326330094875,0.012004513760197486,0.43423451705381955,0.30316277944015024,94982.7337572407,1313983.4785476597,2966.0
0.7693709483304284,0.8466332919014398,0.9996175826802438,0.973563143716873,0.05159298063193201,98095.56602163202,1619264.8891301067,2541.0
0.20062903224459605,0.014790137610756107,0.0023728452352425045,0.9455045430140321,0.01358446764218269,108292.18363233091,1047237.5716621742,2701.0
0.7333422463884177,0.023451738452648002,0.03923478083521313,0.3165736130317843,0.036994337615474444,96226.63300379625,1225705.6536575903,3039.0
0.6607517502473261,0.051557746203138244,0.948712666766674,0.9799106153318535,0.294164908780459,99060.1010718418,1470756.1437749602,2599.0
0.6661557330772705,0.04976702760513327,0.039721122647641605,0.2933507166354176,0.002512353740437394,98131.65539540468,1189877.4193650195,3056.0
0.2009026924593959,0.052246870810909576,0.1258765761707436,0.419559435527878,0.014291420266018238,106700.39760334838,986259.5229345913,2974.0
0.7495817834192179,0.790250781743618,0.09309914064626545,0.9790693702348906,0.004185435824650831,96501.37208591633,1451474.3179890495,2639.0
0.7497954019582125,0.3221197458747258,0.022592829164537864,0.9933682357714014,0.013470443067095706,96972.30755314756,1377401.5765059954,2668.0
0.7701429790078043,0.8466332919014398,0.9905558284652183,0.9809310007647225,0.05159298063193201,98622.34769549502,1621841.9974264498,2540.0
0.24296001570238449,0.04282164003365918,0.9685162541728725,0.9572571721085513,0.004854394392065475,106004.08779771498,1209791.6155263262,2605.0
0.7497954019582125,0.32542016666476564,0.948712666766674,0.9883482657599912,0.0174244329231526,97303.3971130263,1516451.303057469,2578.0
0.20115536494682876,0.017181501521384607,0.009267588308341821,0.013412699848331544,0.04474985364093645,107212.81053089192,910572.6516748942,3147.0
0.4278809309048821,0.3340636768886784,0.004290033674451375,0.45899671586649315,0.12022597364432724,104292.20157299406,1155236.4470068782,2940.0
0.7953911093981079,0.023451738452648002,0.03923478083521313,0.3165736130317843,0.036994337615474444,95059.15620331315,1257228.6173567115,3039.0
0.7497954019582125,0.03255091376817343,0.948712666766674,0.8562364791109803,0.004140404914706162,96951.65192794664,1449928.0850747218,2646.0
